-0.18,-0.14,-0.25,-0.14,-0.03,-0.1,0.41,-0.07,-0.18,-0.07,0.01,0.55,0.15,-0.21,0.08,0.41,0.26,-0.07,-0.07,-0.54,0.55,-0.03,0.19,0.41,-0.36,0.26,-0.07,0.26,0.48,-0.39,-0.47,-0.21,0.08,0.23,-0.72,-0.21,-0.18,0.55,-0.1,-0.1
-0.51,-0.62,-0.15,-0.73,-0.73,-0.69,0.36,-1.72,-0.08,0.07,-0.11,-0.29,0.43,0.51,0.47,-0.22,0.4,1.02,0.94,0.62,0.98,0.91,1.35,0.07,-0.18,0.11,0.98,0.07,0.03,-0.11,0.47,-0.19,-0.48,-0.8,-0.22,-2.22,-0.26,-0.11,0.54,0.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mid lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial set-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0.216,-0.438,-0.54,-0.513,-0.631,-0.692,0.04,0.14,-0.288,-0.287,0.217,0.423,-0.239,0.12,0.362,-0.124,0.093,0.146,-0.305,0.016,-0.242,-0.141,-0.387,-0.68,-0.103,-0.825,0.529,-0.564,-0.478,1.124,1.004,-0.113,1.259,-0.43,0.454,0.284
0,0,0,0,0,-0.352,0.035,-0.123,-1.223,0.106,-0.023,-0.285,-0.515,0.475,-0.115,0.359,-0.03,-0.053,-0.389,-0.016,-0.514,-0.245,0.686,0.456,0.099,0.189,-0.127,0.256,0.349,0.047,0.133,0.245,0.419,-0.057,0.716,0.006,-1.33,0.304,0.516,0
-0.506,-0.332,0.106,-0.135,-0.64,-0.305,0.019,-0.168,-0.774,-0.163,-0.496,-0.279,0.141,-0.597,-0.75,-0.132,-0.082142857,-0.193857143,0.240428571,0.349571429,0.132571429,0.077,-0.19,-0.575,-0.186,0.111,0.373,0.014,0.093,0.966,0.414,0.351,0.995,1.111,0.358,0.312,0.08,0.075,0.63,0
0.114,-0.71,-1.1,0.644,0.098,0.489,0.288,-0.06,-0.056,-0.235,-0.012,0.107,0.193,-0.089,-0.149,-0.09,0.947,1.024,-0.315,0.261,-0.57,-0.099,-0.101,0.208,-0.904,-0.97,-0.58,-0.177,-0.811,-0.853,-0.194,-0.503,0.356,0.159,1.243,0.248,1.331,0.205,0.665,0
-0.441623443,-0.038036222,-0.152723487,-0.061587406,0.053546563,0.000796916,0.405560168,0.232728805,0.015506212,0.18793919,0.096974151,0.375383638,0.154114856,-0.147820045,-0.196838225,0.179209428,0.10197577,-0.014190598,-0.119318356,-0.370384115,0.352095901,0.14092156,0.165714386,0.104957313,-0.399804603,-0.047464739,-0.2084282,0.03280118,0.259436406,-0.303208653,-0.551130716,-0.301798256,0.089312776,0.45181653,-0.170803266,-0.328507415,-0.118885141,0.499628753,0.1091638,-0.037031418
-0.500097389,-0.652771894,-0.161768753,-0.730180658,-0.706636096,-0.701132848,0.290338525,-1.665359348,-0.047050707,0.072814542,-0.091949939,-0.294876682,0.447416277,0.487029416,0.43794046,-0.270426465,0.399118731,1.024223109,0.922801129,0.618766478,0.952475283,0.883782958,1.352961621,0.076753974,-0.15087703,0.11449895,0.970748238,0.09297995,0.043551268,-0.119194074,0.47131914,-0.13243859,-0.452990189,-0.783261523,-0.216460192,-2.23637852,-0.280582936,-0.131689447,0.573465944,0.093137288
